"id","title_en","embed_url","categories","thumbnail_url"
"bts-santa-claus-coloring-game","BTS Santa Claus Coloring | Play Now Online for Free","https://uncached.gamemonetize.co/kihnl3n95b8x6e30lvu6pzkftukw66mq/","action","https://img.gamemonetize.com/kihnl3n95b8x6e30lvu6pzkftukw66mq/512x384.jpg"
"christmas-sweeper-game","Christmas Sweeper | Play Now Online for Free","https://uncached.gamemonetize.co/4kyqjbb3yexewc5lsgyfoay6mrjoqwn2/","action","https://img.gamemonetize.com/4kyqjbb3yexewc5lsgyfoay6mrjoqwn2/512x384.jpg"
"christmas-klondike-solitaire-game","Christmas Klondike Solitaire | Play Now Online for Free","https://uncached.gamemonetize.co/nec2satwcl98s5rzw882mpofnijkkmk8/","action","https://img.gamemonetize.com/nec2satwcl98s5rzw882mpofnijkkmk8/512x384.jpg"
"snowfight-io-game","SnowFight.io | Play Now Online for Free","https://uncached.gamemonetize.co/q2ibbexftbhzlrxex57ka753iss1ub7l/","action","https://img.gamemonetize.com/q2ibbexftbhzlrxex57ka753iss1ub7l/512x384.jpg"
"santa-claus-funny-time-game","Santa Claus Funny Time | Play Now Online for Free","https://uncached.gamemonetize.co/tfth5lmkqw4ccroc9exlx0mqke4cbnw5/","action","https://img.gamemonetize.com/tfth5lmkqw4ccroc9exlx0mqke4cbnw5/512x384.jpg"
"sweet-baby-girl-christmas-fun-holiday-game","Sweet Baby Girl Christmas - Fun Holiday | Play Now Online for Free","https://uncached.gamemonetize.co/6ryfoq09syb2tgyc09gottbwhhxk1hb1/","action","https://img.gamemonetize.com/6ryfoq09syb2tgyc09gottbwhhxk1hb1/512x384.jpg"
"anime-christmas-jigsaw-puzzle-2-game","Anime Christmas Jigsaw Puzzle 2 | Play Now Online for Free","https://uncached.gamemonetize.co/c7aw13couqz8pjsubm4q4ar75d3q57vi/","action","https://img.gamemonetize.com/c7aw13couqz8pjsubm4q4ar75d3q57vi/512x384.jpg"
"snowman-from-fire-game","Snowman From Fire | Play Now Online for Free","https://uncached.gamemonetize.co/y9zg87e1bteat838q2crhrra6ybg6s2j/","action","https://img.gamemonetize.com/y9zg87e1bteat838q2crhrra6ybg6s2j/512x384.jpg"
"christmas-snow-hidden-object-game","Christmas Snow Hidden Object | Play Now Online for Free","https://uncached.gamemonetize.co/ktnh2bwcaxeoog77fl7rricz89h522ej/","action","https://img.gamemonetize.com/ktnh2bwcaxeoog77fl7rricz89h522ej/512x384.jpg"
"christmas-block-collapse-game","Christmas Block Collapse | Play Now Online for Free","https://uncached.gamemonetize.co/iv0cl7ne6sd244flk83qa4dlb389n0l6/","action","https://img.gamemonetize.com/iv0cl7ne6sd244flk83qa4dlb389n0l6/512x384.jpg"
"christmas-2019-puzzle-game","Christmas 2019 Puzzle | Play Now Online for Free","https://uncached.gamemonetize.co/cv8zdbnow24gwnm7t7lvqdsw4xsnp182/","action","https://img.gamemonetize.com/cv8zdbnow24gwnm7t7lvqdsw4xsnp182/512x384.jpg"
"snowman-2020-puzzle-game","Snowman 2020 Puzzle | Play Now Online for Free","https://uncached.gamemonetize.co/w8s0jrnl20jopibf7a2xgbr0ov55peol/","action","https://img.gamemonetize.com/w8s0jrnl20jopibf7a2xgbr0ov55peol/512x384.jpg"
